features_number,SVM,MIGHT,SPO-MIGHT
11,0.4636920385,0.3595800525,0.3919510061
11,0.343832021,0.3963254593,0.3377077865
11,0.3762029746,0.3805774278,0.3508311461
11,0.3980752406,0.3709536308,0.394575678
11,0.2974628171,0.3858267717,0.4155730534
11,0.4549431321,0.3587051619,0.3840769904
11,0.3359580052,0.3560804899,0.3359580052
11,0.375328084,0.3482064742,0.3910761155
11,0.3823272091,0.3455818023,0.426071741
11,0.3167104112,0.3963254593,0.343832021
50,0.4488188976,0.4155730534,0.4313210849
50,0.3937007874,0.4111986002,0.3884514436
50,0.2992125984,0.4278215223,0.4173228346
50,0.4050743657,0.4365704287,0.426071741
50,0.3762029746,0.4199475066,0.3613298338
50,0.3412073491,0.4531933508,0.4409448819
50,0.3368328959,0.4076990376,0.3980752406
50,0.3910761155,0.4059492563,0.3867016623
50,0.3797025372,0.4409448819,0.4418197725
50,0.4094488189,0.4085739283,0.43832021
252,0.2799650044,0.3499562555,0.3954505687
252,0.2283464567,0.3569553806,0.4741907262
252,0.4251968504,0.3543307087,0.4050743657
252,0.4059492563,0.4076990376,0.426071741
252,0.375328084,0.4330708661,0.3805774278
252,0.3875765529,0.3788276465,0.4558180227
252,0.3902012248,0.3350831146,0.3622047244
252,0.4103237095,0.3665791776,0.4243219598
252,0.4321959755,0.4076990376,0.4295713036
252,0.3385826772,0.3858267717,0.4593175853
505,0.3735783027,0.3727034121,0.4129483815
505,0.3884514436,0.3744531934,0.4488188976
505,0.47944007,0.4138232721,0.4409448819
505,0.3788276465,0.3202099738,0.4199475066
505,0.2659667542,0.343832021,0.4584426947
505,0.3490813648,0.3797025372,0.3928258968
505,0.3762029746,0.353455818,0.4138232721
505,0.3805774278,0.3980752406,0.3954505687
505,0.3368328959,0.3700787402,0.3858267717
505,0.2992125984,0.3665791776,0.4015748031
757,0.3709536308,0.3394575678,0.394575678
757,0.3902012248,0.375328084,0.3788276465
757,0.3700787402,0.3744531934,0.4514435696
757,0.3840769904,0.3272090989,0.394575678
757,0.343832021,0.3928258968,0.4444444444
757,0.4409448819,0.3963254593,0.3683289589
757,0.3893263342,0.3175853018,0.3963254593
757,0.3989501312,0.3385826772,0.4138232721
757,0.3595800525,0.2755905512,0.3613298338
757,0.3735783027,0.3595800525,0.4103237095
1010,0.4146981627,0.3665791776,0.4138232721
1010,0.3333333333,0.3525809274,0.457567804
1010,0.384951881,0.3009623797,0.3902012248
1010,0.3464566929,0.3377077865,0.457567804
1010,0.4295713036,0.3587051619,0.3937007874
1010,0.4006999125,0.3429571304,0.3762029746
1010,0.3910761155,0.3674540682,0.4024496938
1010,0.3447069116,0.3604549431,0.3718285214
1010,0.3307086614,0.3394575678,0.3718285214
1010,0.2939632546,0.3867016623,0.4033245844
