method,s@98,MI,pAUC,HD
lr,0.4430379746835443,0.2372903842422857,0.7847762508610079,8.225314888278335
knn,0.4430379746835443 ,0.22788803827058518 ,0.7704148270268033 ,8.08887933341842
svm, 0.6835443037974683,0.32689073232031474 ,0.8642712767759346 ,9.356404584006322
rf, 0.569620253164557 ,0.2815789902748609, 0.8345171015932882 ,8.698718164783752
might, 0.620253164556962, 0.016207772068681736 ,0.8224912205422374 ,4.880002497097725


lr, 0.6075949367088608, 0.2525097432895003 ,0.8513420431576689 ,8.41460485032536
knn, 0.3670886075949367, 0.1810135907927805 ,0.7396519081440998 ,7.5041299207750125
svm ,0.7088607594936709, 0.31092452116199415 ,0.864892331665895, 9.131029892370902
rf ,0.569620253164557 ,0.29269886662586675 ,0.8383563500039521 ,8.854441016286286
might, 0.6455696202531646,0.015826891056406556 ,0.8203457581951016, 4.873432075944


knn, 0.4177215189873418, 0.17781802831010884 ,0.7499384591063585, 7.43652869386922
lr ,0.43037974683544306, 0.2323640688974875 ,0.7944308314231191, 8.179272656266793
svm ,0.6075949367088608, 0.3337970754999553 ,0.8777651057487099, 9.426214018912445
rf ,0.5443037974683544 ,0.2947102131560483 ,0.8292663647963504 ,8.932534613394447
might, 0.6329113924050633, 0.015625003921359792, 0.8196682437696903, 4.869899907411761


lr ,0.3924050632911392 ,0.23598916543387805 ,0.7737666414480742, 8.201435827524719
knn ,0.3037974683544304, 0.16388155699022883, 0.7368421052631579, 7.290497088514756
svm ,0.6329113924050633 ,0.31516502863503193, 0.8652875484140516, 9.200321871342515
rf ,0.6835443037974683 ,0.2828330384731307 ,0.8569879967027632, 8.760607587781893
might, 0.6329113924050633, 0.01575728231768747, 0.8227735182194922, 4.872233229419224


lr, 0.31645569620253167 ,0.2550059991918144, 0.7557560496392235 ,8.444389737174387
knn, 0.5063291139240507 ,0.1800823582916553, 0.7836597635474656 ,7.465625264164563
svm ,0.6075949367088608 ,0.3254434111372734, 0.8626339502478574, 9.342911232904802
rf, 0.5569620253164557 ,0.26317274030665994, 0.8088844724985602, 8.510090359296875
might, 0.6329113924050633 ,0.015811254214201043, 0.8213620298332185, 4.873185680894533


lr, 0.5189873417721519 ,0.23214842620288412 ,0.7897446899806908 ,8.174433301304274
knn, 0.46835443037974683, 0.21381609179121752, 0.7717857183185383, 7.920112159758774
svm, 0.7088607594936709 ,0.336959681323821, 0.8735871001253402 ,9.459392943923048
rf ,0.5063291139240507 ,0.26860312343336196, 0.8080375794667962 ,8.537702743569909
might, 0.620253164556962, 0.015807827335703073 ,0.8191036484151808, 4.87310632912175

knn, 0.45569620253164556, 0.23567831053478155, 0.7875845481543378 ,8.222294033412858
lr, 0.4430379746835443, 0.2607285276902904, 0.7956729412030399, 8.538144971171153
svm, 0.6962025316455697, 0.3111712276676911, 0.8712157996364006, 9.133190064207827
rf, 0.6075949367088608, 0.2730544925437941, 0.8637631409568762, 8.60696191587531
might, 0.6455696202531646, 0.01607745781721459, 0.8216443275104732, 4.877788469099792


knn, 0.5063291139240507, 0.1599553678400104, 0.7937815467654332 ,7.19566364811927
lr, 0.4050632911392405, 0.2614120707614477, 0.7987782156528416, 8.511078387311347
svm, 0.6582278481012658, 0.28381147123336, 0.8722320712745175, 8.78736840384156
rf, 0.5443037974683544, 0.2872628533104789, 0.818087376777064, 8.777336385191541
might, 0.6455696202531646, 0.016024982393747056, 0.8210797321559639, 4.876857504652289



lr ,0.6582278481012658, 0.2813470462919862 ,0.8633679242087196 ,8.796853676238705
knn ,0.379746835443038, 0.19890134204768783,0.7487070766381734 ,7.720917096335375
svm, 0.6582278481012658, 0.2986476044309584 ,0.8735871001253401 ,8.989871366759965
rf, 0.5822784810126582, 0.27524027248343486, 0.7982136202983321 ,8.658314541562035
might ,0.620253164556962 ,0.01586948954932521,0.8202328391241998, 4.87403629918198



lr, 0.569620253164557, 0.23129155722482025, 0.8255964949920392 ,8.143027043952463
knn ,0.5189873417721519, 0.2253057080130595, 0.7645580912160255, 8.05861921517946
svm, 0.620253164556962 ,0.31814621413122157, 0.8490272022041803 ,9.208633138596463
rf ,0.6075949367088608 ,0.2640893480789739, 0.8411228672410483 ,8.525453029669135
might, 0.620253164556962 ,0.015933201559744425 ,0.819950541446945, 4.875255422555855
